找,try to find; look for; seek; to give change,zhǎo,[sound:找.mp3]
不行,not allowed,Bùxíng,[sound:不行.mp3]
游戏,game; play; recreation,yóu xì,[sound:游戏.mp3]
适合,suitable,Shìhé,[sound:适合.mp3]
进来,come in,Jìnlái,[sound:进来.mp3]
坏人,bad person,Huàirén,[sound:坏人.mp3]
加油,You can do it,Jiāyóu,[sound:加油.mp3]
集,Episode,Jí,[sound:集.mp3]
我还是老样子,The same old thing,Wǒháishìlǎoyàngzi,[sound:我还是老样子.mp3]
张婉凝,Zhang Wanning,Zhāngwǎnníng,[sound:张婉凝.mp3]
披萨,Pizza,Pīsà,[sound:披萨.mp3]
蛋炒饭,Egg fried rice,Dànchǎofàn,[sound:蛋炒饭.mp3]
德国,Germany,Déguó,[sound:德国.mp3]
俄国,Russia,Éguó,[sound:俄国.mp3]
意大利,Italy,Yìdàlì,[sound:意大利.mp3]
爱尔兰,Ireland,Ài'ěrlán,[sound:爱尔兰.mp3]
加拿大,Canada,Jiānádà,[sound:加拿大.mp3]
泰国,Thailand,Tàiguó,[sound:泰国.mp3]
汉语水平考试,HSK,Hànyǔshuǐpíngkǎoshì,[sound:汉语水平考试.mp3]
苏格兰,Scotland,Sūgélán,[sound:苏格兰.mp3]
格拉斯哥,Glasgow,Gélāsīgē,[sound:格拉斯哥.mp3]
爱丁堡,Edinburgh,Àidīngbǎo,[sound:爱丁堡.mp3]
阿但丁,Aberdeen,Adàndīng,[sound:阿但丁.mp3]
魔法,Magic,Mófǎ,[sound:魔法.mp3]
棒,Stick,Bàng,[sound:棒.mp3]
挥动,to wave,Huīdòng,[sound:挥动.mp3]
然后,then; afterwards,rán hòu,[sound:然后.mp3]
青蛙,Frog,Qīngwā,[sound:青蛙.mp3]
自己,oneself; self,zì jǐ,[sound:自己.mp3]
应该,should; ought to; must,yīng gāi,[sound:应该.mp3]
别的,other,Biéde,[sound:别的.mp3]
地方,"place; space; room; part, (fāng: local; regional)",dì fang,[sound:地方.mp3]
感到,to feel,Gǎndào,[sound:感到.mp3]
孤单,lonely,Gūdān,[sound:孤单.mp3]
需要,to need; to want; to demand,xū yào,[sound:需要.mp3]
帮忙,to help,bāng máng,[sound:帮忙.mp3]
巧克力,Chocolate,Qiǎokèlì,[sound:巧克力.mp3]
饼干,cookie,Bǐnggān,[sound:饼干.mp3]
舔,to Lick,Tiǎn,[sound:舔.mp3]
开始,begin; to start; beginning,kāi shǐ,[sound:开始.mp3]
视频,video,Shìpín,[sound:视频.mp3]
空气动力学,aerodynamics,Kōngqìdònglìxué,[sound:空气动力学.mp3]
热力学,Thermodynamics,Rèlìxué,[sound:热力学.mp3]
力学,Mechanics,Lìxué,[sound:力学.mp3]
流体力学,Fluid Mechanics,Liútǐlìxué,[sound:流体力学.mp3]
工程师,Engineer,Gōngchéngshī,[sound:工程师.mp3]
微积分学,Calculus,Wéijīfēnxué,[sound:微积分学.mp3]
室友,Roommate,Shìyǒu,[sound:室友.mp3]
下载,to download,Xiàzài,[sound:下载.mp3]
上传,to upload,Shàngchuán,[sound:上传.mp3]
炸鸡,deep fried chicken,Zhájī,[sound:炸鸡.mp3]
活着,to be alive,Huózhe,[sound:活着.mp3]
我回来了,Im back,Wǒhuíláile,[sound:我回来了.mp3]
我准备好了,Im ready,Wǒzhǔnbèihǎole,[sound:我准备好了.mp3]
组装,to build,Zǔzhuāng,[sound:组装.mp3]
健身房,Gym,Jiànshēnfáng,[sound:健身房.mp3]
一次性,One time use,Yīcìxìng,[sound:一次性.mp3]
等一会儿,Wait a bit,Děngyīhuǐ'er,[sound:等一会儿.mp3]
锻炼,to workout,Duànliàn,[sound:锻炼.mp3]
你在健身房锻炼得怎么样,How was the gym,Nǐzàijiànshēnfángduànliàndezěnmeyàng,[sound:你在健身房锻炼得怎么样.mp3]
酸疼,Sore,Suānténg,[sound:酸疼.mp3]
下一集,Next episode,Xiàyījí,[sound:下一集.mp3]
鱼,fish (Kangxi radical 195),yú,[sound:鱼.mp3]
删除,to delete,Shānchú,[sound:删除.mp3]
深圳,Shenzhen,Shēnzhèn,[sound:深圳.mp3]
广州,Guangzhou,Guǎngzhōu,[sound:广州.mp3]
山东省,Shandong province,Shāndōngshěng,[sound:山东省.mp3]
潍坊,Weifang,Wéifāng,[sound:潍坊.mp3]
微信,WeChat,Wēixìn,[sound:微信.mp3]
你想一想,You think about it,Nǐxiǎngyīxiǎng,[sound:你想一想.mp3]
今天天气怎么样,How's the weather today?,Jīntiāntiānqìzěnmeyàng?,[sound:今天天气怎么样.mp3]
