x,2x,3x,4x,5x,6x,7x,8x,9x,10x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0
3.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0
4.0,8.0,12.0,16.0,20.0,24.0,28.0,32.0,36.0,40.0
5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0
6.0,12.0,18.0,24.0,30.0,36.0,42.0,48.0,54.0,60.0
7.0,14.0,21.0,28.0,35.0,42.0,49.0,56.0,63.0,70.0
8.0,16.0,24.0,32.0,40.0,48.0,56.0,64.0,72.0,80.0
9.0,18.0,27.0,36.0,45.0,54.0,63.0,72.0,81.0,90.0
10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0
11.0,22.0,33.0,44.0,55.0,66.0,77.0,88.0,99.0,110.0
12.0,24.0,36.0,48.0,60.0,72.0,84.0,96.0,108.0,120.0
13.0,26.0,39.0,52.0,65.0,78.0,91.0,104.0,117.0,130.0
14.0,28.0,42.0,56.0,70.0,84.0,98.0,112.0,126.0,140.0
15.0,30.0,45.0,60.0,75.0,90.0,105.0,120.0,135.0,150.0
16.0,32.0,48.0,64.0,80.0,96.0,112.0,128.0,144.0,160.0
17.0,34.0,51.0,68.0,85.0,102.0,119.0,136.0,153.0,170.0
18.0,36.0,54.0,72.0,90.0,108.0,126.0,144.0,162.0,180.0
